,Source,Target,Weight,Type
1,main_oct1,main_oct2,6,undirected
2,main_oct1,main_oct3,6,undirected
3,main_oct1,main_oct4,1,undirected
4,main_oct1,main_oct5,11,undirected
5,main_oct1,main_oct6,5,undirected
6,main_oct1,main_oct7,2,undirected
7,main_oct1,novel_oct1,2,undirected
8,main_oct1,novel_oct2,2,undirected
9,main_oct1,novel_oct4,8,undirected
10,main_oct2,main_oct1,6,undirected
11,main_oct2,main_oct3,2,undirected
12,main_oct2,main_oct5,1,undirected
13,main_oct2,novel_oct3,3,undirected
14,main_oct3,main_oct1,6,undirected
15,main_oct3,main_oct2,2,undirected
16,main_oct3,main_oct4,4,undirected
17,main_oct3,main_oct5,6,undirected
18,main_oct3,main_oct6,5,undirected
19,main_oct3,main_oct7,2,undirected
20,main_oct3,novel_oct3,1,undirected
21,main_oct4,main_oct1,1,undirected
22,main_oct4,main_oct3,4,undirected
23,main_oct4,main_oct5,6,undirected
24,main_oct4,novel_oct3,1,undirected
25,main_oct5,main_oct1,11,undirected
26,main_oct5,main_oct2,1,undirected
27,main_oct5,main_oct3,6,undirected
28,main_oct5,main_oct4,6,undirected
29,main_oct5,main_oct6,2,undirected
30,main_oct5,main_oct7,6,undirected
31,main_oct5,novel_oct1,1,undirected
32,main_oct5,novel_oct3,11,undirected
33,main_oct6,main_oct1,5,undirected
34,main_oct6,main_oct3,5,undirected
35,main_oct6,main_oct5,2,undirected
36,main_oct6,novel_oct3,1,undirected
37,main_oct7,main_oct1,2,undirected
38,main_oct7,main_oct3,2,undirected
39,main_oct7,main_oct5,6,undirected
40,main_oct7,novel_oct3,2,undirected
41,novel_oct1,main_oct1,2,undirected
42,novel_oct1,main_oct5,1,undirected
43,novel_oct1,novel_oct2,6,undirected
44,novel_oct1,novel_oct3,2,undirected
45,novel_oct1,novel_oct4,4,undirected
46,novel_oct1,novel_oct5,12,undirected
47,novel_oct1,novel_oct6,9,undirected
48,novel_oct2,main_oct1,2,undirected
49,novel_oct2,novel_oct1,6,undirected
50,novel_oct2,novel_oct3,1,undirected
51,novel_oct2,novel_oct4,7,undirected
52,novel_oct2,novel_oct5,3,undirected
53,novel_oct3,main_oct2,3,undirected
54,novel_oct3,main_oct3,1,undirected
55,novel_oct3,main_oct4,1,undirected
56,novel_oct3,main_oct5,11,undirected
57,novel_oct3,main_oct6,1,undirected
58,novel_oct3,main_oct7,2,undirected
59,novel_oct3,novel_oct1,2,undirected
60,novel_oct3,novel_oct2,1,undirected
61,novel_oct3,novel_oct6,7,undirected
62,novel_oct4,main_oct1,8,undirected
63,novel_oct4,novel_oct1,4,undirected
64,novel_oct4,novel_oct2,7,undirected
65,novel_oct4,novel_oct6,1,undirected
66,novel_oct5,novel_oct1,12,undirected
67,novel_oct5,novel_oct2,3,undirected
68,novel_oct5,novel_oct6,7,undirected
69,novel_oct6,novel_oct1,9,undirected
70,novel_oct6,novel_oct3,7,undirected
71,novel_oct6,novel_oct4,1,undirected
72,novel_oct6,novel_oct5,7,undirected
