"main_oct1" "main_oct2" "main_oct3" "main_oct4" "main_oct5" "main_oct6" "main_oct7" "novel_oct1" "novel_oct2" "novel_oct3" "novel_oct4" "novel_oct5" "novel_oct6"
"the" 5.39350577875619 4.55635491606715 4.53544693967415 3.14830157415079 5.46927751519244 4.39258750857927 5.09708737864078 4.93626882966396 4.77718360071301 4.30752453653217 5.08905852417303 4.49152542372881 4.49897750511247
"â" 1.81618051733627 3.35731414868106 1.36503742844562 2.98260149130075 3.66306549628629 2.19629375428964 1.21359223300971 5.60834298957126 3.81461675579323 4.00763358778626 4.02035623409669 4.72457627118644 4.39672801635992
"and" 3.02696752889378 2.03836930455636 3.08234258036107 2.56835128417564 2.68399729912221 3.36307481125601 3.88349514563107 2.66512166859791 2.06773618538324 2.12649945474373 3.46055979643766 2.60593220338983 2.93115201090661
"a" 2.40322876536415 2.87769784172662 1.9374724790841 1.40845070422535 2.00877785280216 2.47083047357584 2.18446601941748 2.41019698725377 2.49554367201426 2.39912758996728 1.88295165394402 2.52118644067797 1.84049079754601
"he" 2.38488350761328 1.19904076738609 0.704535446939674 1.40845070422535 1.2660364618501 1.09814687714482 1.45631067961165 2.92004634994206 3.20855614973262 1.41766630316249 3.15521628498728 2.90254237288136 2.21540558963872
"to" 1.9262520638415 1.91846522781775 2.20167327168648 2.56835128417564 2.21134368669818 1.02951269732327 1.69902912621359 1.64542294322132 1.10516934046346 2.50817884405671 2.08651399491094 1.88559322033898 1.94274028629857
"was" 1.7978352595854 1.43884892086331 2.02553940995156 1.49130074565037 1.82309250506415 2.67673301304049 1.69902912621359 1.62224797219003 1.28342245989305 2.09923664122137 1.93384223918575 1.20762711864407 2.1813224267212
"of" 2.01797835259585 1.43884892086331 2.46587406428886 1.49130074565037 1.40108035111411 1.71585449553878 2.18446601941748 1.87717265353418 1.85383244206774 1.09051254089422 1.73027989821883 2.09745762711864 1.43149284253579
"his" 1.88956154833975 1.3189448441247 0.572435050638485 0.662800331400166 0.979068197164078 0.686341798215511 0.728155339805825 2.22479721900348 3.20855614973262 0.926935659760087 1.57760814249364 1.94915254237288 1.60190865712338
"she" 0.678774536782242 1.91846522781775 2.55394099515632 2.8169014084507 3.27481431465226 1.78448867536033 3.64077669902913 0.254924681344148 0.071301247771836 3.87131952017448 0.407124681933842 0.0211864406779661 1.19291070211316
